Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.4,0.6,0.7636,0.5636,0.4182,0.6545,0.8,0.6909,0.5636,0.5455,0.5273,0.5273
0.4727,0.6545,0.7455,0.5273,0.5273,0.6364,0.8364,0.6727,0.5455,0.4909,0.4909,0.4909
0.4545,0.6182,0.8,0.6182,0.4727,0.7091,0.8,0.5818,0.5636,0.5818,0.5818,0.6364
0.5741,0.7407,0.8148,0.6667,0.6111,0.7593,0.9074,0.7222,0.6111,0.6481,0.6296,0.6296
0.5741,0.6667,0.7037,0.6667,0.5556,0.7037,0.8704,0.6481,0.537,0.6111,0.6111,0.6111
0.5185,0.5741,0.7593,0.5556,0.537,0.6667,0.8519,0.6111,0.537,0.5,0.5926,0.5926
0.5556,0.6111,0.7593,0.5741,0.5185,0.6852,0.8148,0.5741,0.5556,0.5556,0.537,0.5926
0.5273,0.6727,0.8727,0.6545,0.5818,0.7273,0.8364,0.6909,0.6545,0.6364,0.6364,0.6545
0.6,0.7091,0.8364,0.6909,0.5636,0.6545,0.8727,0.6909,0.5818,0.5818,0.6,0.5818
0.4364,0.6,0.7636,0.6727,0.4909,0.6909,0.8,0.6182,0.5636,0.5273,0.5455,0.5636
0.5273,0.6364,0.7091,0.6,0.5273,0.6182,0.8182,0.6,0.5455,0.6,0.5636,0.5455
0.5273,0.6,0.7455,0.5636,0.4364,0.5818,0.8182,0.6,0.4545,0.5091,0.4545,0.4727
0.4909,0.5636,0.7636,0.5455,0.4909,0.6,0.7818,0.6182,0.5273,0.5273,0.5273,0.5455
0.4815,0.6852,0.7963,0.5556,0.463,0.6852,0.8519,0.6111,0.5,0.4815,0.4815,0.4815
0.6364,0.7636,0.8545,0.6909,0.6182,0.7818,0.8364,0.7455,0.6727,0.6,0.6182,0.6
0.4909,0.6,0.7091,0.6,0.5273,0.6727,0.8,0.6909,0.5818,0.5273,0.6364,0.6
0.6545,0.7273,0.8364,0.7273,0.7273,0.7818,0.8545,0.7818,0.6545,0.7091,0.6727,0.7091
0.5273,0.6364,0.7091,0.5636,0.5091,0.6727,0.8182,0.6545,0.5818,0.4909,0.5636,0.5818
0.5818,0.6364,0.8,0.5818,0.5091,0.6545,0.9273,0.6182,0.5273,0.5455,0.5273,0.5455
0.6,0.6727,0.7636,0.6,0.5091,0.7091,0.8727,0.6909,0.5636,0.6,0.6182,0.6
0.3889,0.5185,0.6111,0.463,0.3704,0.5185,0.6852,0.4815,0.4444,0.3889,0.3889,0.4259
0.5185,0.6296,0.7778,0.5741,0.463,0.6852,0.7963,0.5741,0.4444,0.5741,0.5741,0.5185
0.4444,0.5,0.6852,0.463,0.5,0.5926,0.6852,0.5741,0.463,0.5,0.537,0.5185
0.4259,0.5741,0.6667,0.6111,0.4444,0.6481,0.8519,0.5741,0.5,0.5,0.463,0.537
0.5185,0.6481,0.7037,0.6481,0.463,0.7037,0.8519,0.5926,0.5185,0.5741,0.5741,0.5185
0.4444,0.6481,0.7593,0.6296,0.4815,0.6667,0.8519,0.6296,0.5556,0.5556,0.5741,0.537
0.5,0.5741,0.6852,0.5741,0.5556,0.6296,0.7593,0.5926,0.5,0.537,0.5185,0.537
0.5455,0.6909,0.7455,0.6727,0.6182,0.7091,0.8545,0.7091,0.5818,0.6,0.5636,0.6545
0.5273,0.6182,0.6909,0.6545,0.5091,0.6182,0.7818,0.6364,0.5273,0.5818,0.4909,0.4909
0.4909,0.5818,0.7273,0.5818,0.4182,0.6909,0.8364,0.6545,0.5091,0.6182,0.5818,0.4909
0.6364,0.6182,0.7636,0.6364,0.6,0.7273,0.8182,0.6727,0.5818,0.6545,0.6364,0.6182
0.5273,0.6,0.6909,0.6364,0.5636,0.6545,0.8182,0.6545,0.5455,0.5455,0.5091,0.5455
0.5091,0.6727,0.7455,0.6909,0.5273,0.6909,0.8545,0.6545,0.5636,0.4727,0.5091,0.6
0.463,0.6111,0.7963,0.5185,0.4815,0.6111,0.7963,0.5,0.4815,0.4815,0.5,0.537
0.5636,0.6364,0.8727,0.6545,0.6182,0.6545,0.8182,0.6727,0.6,0.6545,0.6364,0.6182
0.4909,0.6364,0.8364,0.5818,0.4909,0.7091,0.8545,0.6545,0.5455,0.5636,0.6182,0.6364
0.3455,0.4364,0.5818,0.4182,0.3273,0.4364,0.7091,0.4,0.4,0.3636,0.4,0.4
0.5636,0.7636,0.8,0.6545,0.6182,0.7273,0.8909,0.6909,0.6545,0.6182,0.6727,0.6182
0.6182,0.6727,0.8727,0.7091,0.6,0.7455,0.8727,0.7455,0.7091,0.6727,0.6182,0.6
0.5455,0.6182,0.8,0.6727,0.5273,0.7273,0.8182,0.6727,0.6364,0.6,0.5818,0.6545
0.4444,0.5556,0.6667,0.5185,0.4074,0.5926,0.7593,0.537,0.4815,0.463,0.463,0.4074
0.5185,0.6667,0.7407,0.5741,0.4815,0.7037,0.7593,0.6481,0.537,0.6481,0.5556,0.6296
0.4074,0.5,0.7037,0.537,0.4259,0.6111,0.7407,0.5556,0.4444,0.4815,0.5556,0.5
0.537,0.7407,0.8148,0.5926,0.5185,0.7778,0.8704,0.6667,0.537,0.5185,0.5741,0.5556
0.5,0.6667,0.7963,0.6481,0.5,0.6667,0.7963,0.6481,0.6111,0.537,0.6111,0.6111
0.5,0.6481,0.7407,0.5556,0.5556,0.7037,0.8148,0.6296,0.5,0.5741,0.537,0.5556
0.463,0.537,0.7222,0.5185,0.463,0.6111,0.7222,0.5185,0.5,0.5,0.5926,0.5556
0.4364,0.6182,0.7091,0.6182,0.5091,0.6364,0.8364,0.6,0.5636,0.5455,0.5455,0.5273
0.4545,0.5818,0.7636,0.5818,0.5091,0.6727,0.7818,0.6182,0.5455,0.5636,0.5636,0.5818
0.5818,0.7273,0.8,0.7091,0.6182,0.7636,0.8909,0.6909,0.5818,0.6727,0.5818,0.6727
0.3455,0.5091,0.6545,0.5091,0.4364,0.5636,0.8,0.5455,0.4909,0.4727,0.4909,0.4727
0.6909,0.6545,0.7636,0.7091,0.6,0.7273,0.9273,0.7273,0.6545,0.6909,0.6182,0.6545
0.5636,0.6182,0.7636,0.6182,0.5636,0.7455,0.8727,0.6545,0.5818,0.6364,0.5455,0.6364
0.4815,0.6111,0.7222,0.5741,0.4444,0.7222,0.7778,0.6481,0.6111,0.5556,0.5,0.5741
0.537,0.6481,0.8704,0.6852,0.537,0.7037,0.7963,0.6481,0.6111,0.6111,0.6111,0.6296
0.5,0.5926,0.6667,0.5185,0.5185,0.6111,0.7222,0.5741,0.537,0.537,0.463,0.537
0.537,0.6481,0.8519,0.6111,0.5,0.7037,0.9259,0.6481,0.5741,0.4815,0.537,0.6111
0.5455,0.6545,0.8,0.6545,0.5273,0.7091,0.8727,0.6545,0.5455,0.6182,0.5273,0.5273
0.5273,0.6182,0.7818,0.5818,0.5636,0.6545,0.7818,0.6545,0.4909,0.6182,0.5455,0.5818
0.5455,0.5091,0.6909,0.5818,0.5273,0.5818,0.7091,0.5636,0.5273,0.5273,0.4727,0.4909
0.5091,0.6364,0.7636,0.5455,0.5273,0.6364,0.8364,0.6,0.5273,0.5091,0.4364,0.5455
0.4727,0.6,0.7636,0.6182,0.5091,0.6909,0.8182,0.6727,0.6,0.4909,0.5818,0.5273
0.6182,0.7273,0.8182,0.6727,0.6,0.7455,0.8727,0.7273,0.6727,0.6545,0.6182,0.6
0.3704,0.5556,0.6852,0.5,0.4444,0.6111,0.8148,0.5556,0.537,0.4815,0.537,0.4815
0.463,0.6296,0.7222,0.5185,0.463,0.6296,0.8519,0.5926,0.5185,0.5741,0.5,0.537
0.5741,0.6296,0.8148,0.6852,0.5926,0.7222,0.8519,0.6481,0.5926,0.5741,0.6296,0.5741
0.463,0.6111,0.7407,0.5556,0.4815,0.6481,0.7963,0.537,0.4815,0.5556,0.537,0.5185
0.5091,0.6182,0.6909,0.5455,0.4909,0.6364,0.8,0.6182,0.5455,0.5636,0.5636,0.4909
0.5091,0.5273,0.7091,0.6364,0.4545,0.6,0.8182,0.6182,0.5273,0.5273,0.5091,0.5818
0.4545,0.6909,0.7636,0.7091,0.4909,0.7455,0.8727,0.6909,0.6182,0.6,0.5273,0.4727
0.6182,0.6545,0.8727,0.6545,0.5636,0.7273,0.9091,0.7091,0.6182,0.5455,0.6,0.6182
0.5636,0.6909,0.7273,0.5818,0.4909,0.6727,0.8182,0.6182,0.5091,0.5273,0.5091,0.5636
0.5455,0.6727,0.7636,0.5273,0.4909,0.7455,0.8364,0.5818,0.5273,0.5455,0.6182,0.5818
0.4815,0.5741,0.7037,0.5926,0.5,0.6296,0.8148,0.6111,0.5741,0.5185,0.5926,0.5556
0.537,0.6296,0.8148,0.5741,0.5741,0.7037,0.8519,0.6852,0.5556,0.537,0.6296,0.5556
0.5185,0.5556,0.7222,0.6111,0.537,0.6481,0.8889,0.6481,0.5926,0.5556,0.6481,0.5926
0.6111,0.6852,0.8704,0.7037,0.5556,0.7407,0.8889,0.7037,0.6296,0.5741,0.6111,0.5926
0.6545,0.6545,0.8182,0.6909,0.6182,0.6909,0.8545,0.6909,0.6545,0.6727,0.6364,0.6545
0.4182,0.5455,0.7091,0.6,0.4727,0.5818,0.7636,0.6,0.5273,0.4909,0.4545,0.4545
0.4727,0.6545,0.7818,0.4545,0.4,0.6182,0.7818,0.5091,0.4909,0.5455,0.5636,0.5818
0.4364,0.6182,0.7636,0.5455,0.4545,0.5636,0.7818,0.5636,0.4909,0.5091,0.4909,0.5091
0.5455,0.6182,0.8182,0.6,0.5455,0.6727,0.8545,0.7091,0.5636,0.5455,0.5818,0.6545
0.4545,0.6364,0.7273,0.6364,0.5091,0.7273,0.8545,0.6545,0.6364,0.6182,0.6,0.6182
0.4444,0.5185,0.6852,0.4259,0.3704,0.5185,0.7037,0.5,0.463,0.463,0.5185,0.4815
0.5273,0.5455,0.7455,0.6,0.5273,0.6364,0.8,0.6182,0.5273,0.5818,0.5273,0.5818
0.6909,0.7273,0.8545,0.6364,0.6182,0.7455,0.8545,0.7455,0.5818,0.5636,0.6,0.6364
0.6545,0.8182,0.8727,0.6909,0.6545,0.8182,0.9091,0.7455,0.6727,0.7091,0.6909,0.6909
0.5091,0.6182,0.6727,0.6364,0.5091,0.6727,0.8182,0.6182,0.5455,0.5636,0.5455,0.5818
0.4182,0.5273,0.7455,0.5818,0.4364,0.6,0.8,0.5455,0.4727,0.4909,0.5455,0.5091
0.5273,0.5455,0.7636,0.5455,0.4364,0.5818,0.8,0.5818,0.4727,0.5455,0.4727,0.5818
0.6296,0.6852,0.7222,0.7222,0.5556,0.7037,0.8333,0.6667,0.6111,0.6481,0.6481,0.5926
0.5,0.5741,0.7222,0.5741,0.537,0.6111,0.7222,0.6296,0.5741,0.5741,0.5,0.5556
0.3704,0.5185,0.7222,0.5556,0.4074,0.5741,0.7778,0.537,0.3889,0.4444,0.4259,0.5
0.5741,0.6667,0.8148,0.6667,0.5926,0.7222,0.9074,0.7407,0.6852,0.6111,0.537,0.6481
0.4259,0.537,0.6111,0.5741,0.4444,0.5926,0.7222,0.5741,0.5,0.5,0.5,0.4815
0.3889,0.463,0.7593,0.5556,0.4259,0.5926,0.8704,0.5,0.463,0.5185,0.3889,0.463
0.6111,0.6852,0.8333,0.6852,0.6111,0.7407,0.8519,0.7407,0.5741,0.6296,0.6667,0.5926
0.4545,0.5455,0.6545,0.5273,0.4909,0.6727,0.7636,0.5636,0.5091,0.5455,0.5273,0.5091
0.6182,0.7818,0.8182,0.7455,0.6909,0.8182,0.8909,0.7818,0.7091,0.7273,0.6909,0.6727
0.5636,0.6,0.6909,0.6,0.5273,0.6545,0.8727,0.6545,0.4727,0.5455,0.5091,0.5273
0.5091,0.7455,0.8364,0.6727,0.5636,0.7455,0.8545,0.6909,0.6545,0.5818,0.6,0.6364
0.4182,0.5636,0.6727,0.5455,0.4,0.6364,0.8182,0.5636,0.4727,0.4545,0.4545,0.5273
0.4909,0.6364,0.8,0.6182,0.5091,0.6909,0.8364,0.7091,0.5636,0.5091,0.5091,0.6
0.4444,0.6111,0.7407,0.537,0.5,0.6481,0.8148,0.5926,0.5185,0.5185,0.537,0.5185
0.5,0.6481,0.8889,0.6111,0.5,0.6481,0.8333,0.6481,0.5926,0.5556,0.537,0.5
0.4815,0.6481,0.7963,0.5741,0.4815,0.6852,0.8333,0.5926,0.5556,0.5741,0.5741,0.5556
0.5926,0.7778,0.8704,0.7037,0.6296,0.8519,0.8704,0.7593,0.6481,0.6296,0.5926,0.6852
0.3636,0.5636,0.6545,0.4727,0.3818,0.5273,0.8182,0.5455,0.5273,0.4182,0.4182,0.5455
0.6545,0.6727,0.8727,0.7818,0.6909,0.8182,0.8727,0.8,0.6182,0.6364,0.6182,0.6
0.4182,0.5273,0.6727,0.5636,0.5273,0.6,0.7091,0.5818,0.5273,0.5091,0.4909,0.5273
0.4,0.5091,0.7636,0.5273,0.4545,0.6,0.8545,0.5091,0.4909,0.4364,0.5091,0.4182
0.6182,0.7091,0.8182,0.6364,0.5818,0.7091,0.8364,0.7091,0.6182,0.6545,0.5636,0.6
0.5091,0.5636,0.7091,0.5455,0.4727,0.5636,0.7455,0.5455,0.4909,0.4727,0.4545,0.4364
0.5185,0.6481,0.6667,0.5926,0.5185,0.7037,0.8519,0.5741,0.5741,0.5185,0.5926,0.5926
0.4815,0.6481,0.7407,0.6111,0.5,0.7222,0.8333,0.6111,0.5556,0.5556,0.5556,0.5
0.5185,0.7222,0.8333,0.6111,0.5185,0.7037,0.8704,0.6296,0.5556,0.5926,0.537,0.537
0.537,0.5926,0.7593,0.537,0.5185,0.6111,0.8148,0.5556,0.4815,0.463,0.5185,0.537
0.4364,0.6,0.7091,0.5636,0.4545,0.6364,0.8,0.6,0.5091,0.4545,0.4727,0.4545
0.3818,0.5273,0.7455,0.5636,0.4182,0.6182,0.7636,0.5636,0.4909,0.4727,0.5091,0.4727
0.5273,0.5636,0.6727,0.5273,0.4545,0.6364,0.7273,0.5636,0.5636,0.5818,0.5455,0.5091
0.4545,0.6909,0.7818,0.5455,0.4727,0.6364,0.8182,0.6364,0.6182,0.6364,0.5273,0.5818
0.5818,0.7091,0.7636,0.6182,0.5636,0.7455,0.8909,0.6364,0.6,0.5818,0.4909,0.5636
0.5273,0.5273,0.8182,0.7091,0.5455,0.7091,0.9273,0.6909,0.6182,0.6,0.5455,0.5273
0.6296,0.6852,0.7778,0.6852,0.6111,0.7407,0.8889,0.6667,0.6296,0.6481,0.6111,0.5926
0.5,0.6481,0.6667,0.5,0.537,0.6852,0.7963,0.6111,0.5,0.5556,0.5,0.5
0.5926,0.6667,0.7407,0.6667,0.5556,0.7407,0.8333,0.6852,0.6111,0.5926,0.5556,0.5741
0.5556,0.6296,0.7593,0.6111,0.537,0.6481,0.8333,0.6481,0.5741,0.6111,0.5741,0.6111
0.4364,0.6,0.7273,0.5636,0.4545,0.6182,0.7818,0.5455,0.4909,0.4909,0.5273,0.5273
0.4909,0.6,0.6909,0.5273,0.5091,0.6545,0.8182,0.6364,0.6182,0.4909,0.5818,0.5455
0.5636,0.6364,0.7455,0.6,0.5091,0.6727,0.8364,0.6,0.5273,0.5091,0.4909,0.5273
0.5273,0.5818,0.7636,0.6364,0.5636,0.7091,0.8364,0.6909,0.5818,0.6,0.6,0.6364
0.6909,0.7636,0.8545,0.6727,0.6545,0.8,0.9091,0.8,0.7091,0.6909,0.7273,0.7273
0.4909,0.5818,0.7091,0.5455,0.4909,0.6182,0.7636,0.5455,0.5273,0.5636,0.5273,0.5636
0.5,0.537,0.7407,0.5185,0.463,0.6111,0.7593,0.5926,0.537,0.5185,0.4815,0.5185
0.537,0.6296,0.8148,0.6667,0.537,0.6481,0.8704,0.6481,0.5741,0.6111,0.537,0.5741
0.6111,0.6481,0.8148,0.6852,0.6111,0.7593,0.8889,0.6852,0.6667,0.5926,0.5926,0.5926
0.463,0.6296,0.7963,0.5,0.5185,0.6481,0.8519,0.6296,0.5556,0.537,0.463,0.537
0.4909,0.5273,0.7818,0.5818,0.4727,0.6182,0.8182,0.5818,0.5091,0.4727,0.6,0.5455
0.5455,0.6909,0.7091,0.6182,0.5273,0.7273,0.8364,0.6182,0.6182,0.6,0.6,0.6
0.5091,0.6727,0.7636,0.6,0.5091,0.7091,0.7455,0.6364,0.5636,0.5455,0.5636,0.5818
0.5273,0.6545,0.7091,0.6364,0.5636,0.6909,0.8,0.6545,0.6,0.6,0.6,0.6182
0.4727,0.6545,0.6909,0.5455,0.5091,0.6364,0.8182,0.5818,0.4909,0.5273,0.5455,0.5455
0.5273,0.7273,0.7455,0.6727,0.5636,0.6364,0.8545,0.6727,0.6,0.6182,0.5636,0.5818
0.4444,0.5185,0.7037,0.5,0.4444,0.6111,0.7778,0.5741,0.4815,0.5,0.5185,0.5185
0.4,0.5636,0.6727,0.4909,0.3273,0.5636,0.8,0.5636,0.4545,0.4,0.4545,0.4182
0.6,0.7455,0.8,0.7091,0.6727,0.7636,0.8182,0.7636,0.6727,0.6545,0.6364,0.6364
0.4909,0.5818,0.7818,0.6,0.4182,0.6,0.8,0.5818,0.5455,0.5818,0.5455,0.5273
0.4545,0.6545,0.7636,0.5273,0.4182,0.6545,0.8182,0.5636,0.4545,0.4545,0.4909,0.4909
0.6,0.6182,0.7818,0.5636,0.5818,0.7091,0.8,0.6909,0.6182,0.6182,0.6182,0.6
0.5273,0.6545,0.7818,0.6,0.5455,0.6545,0.7818,0.6545,0.5636,0.6182,0.5636,0.5455
0.5185,0.5926,0.7963,0.6481,0.5,0.6667,0.8333,0.6481,0.537,0.5556,0.537,0.537
0.5556,0.6667,0.7963,0.6667,0.4815,0.7963,0.8704,0.6852,0.5185,0.6667,0.5926,0.5926
0.463,0.4815,0.6852,0.5741,0.4074,0.5926,0.7963,0.4815,0.4815,0.4444,0.537,0.5
0.6852,0.7222,0.7593,0.7037,0.6481,0.7778,0.8519,0.7222,0.6296,0.6852,0.6852,0.5926
0.4727,0.5455,0.7091,0.5818,0.4182,0.6909,0.7636,0.6545,0.5818,0.5636,0.4909,0.5273
0.5636,0.7455,0.8182,0.6182,0.6,0.7636,0.8545,0.7273,0.6727,0.7091,0.6,0.6545
0.5091,0.5818,0.8364,0.6545,0.5091,0.6364,0.7636,0.6,0.5455,0.5091,0.4909,0.5273
0.4727,0.6545,0.7636,0.5818,0.4364,0.6727,0.8,0.6,0.5273,0.5455,0.5818,0.5818
0.4545,0.5091,0.6727,0.5455,0.3818,0.6182,0.7636,0.4909,0.5455,0.4909,0.4909,0.5455
0.4,0.5818,0.7091,0.4364,0.4182,0.5273,0.7818,0.5455,0.4364,0.5091,0.4182,0.4182
0.5185,0.6111,0.7593,0.5926,0.537,0.6111,0.7593,0.6481,0.5741,0.5556,0.5741,0.5741
0.6481,0.6852,0.7593,0.6481,0.6296,0.7037,0.8704,0.6481,0.6296,0.6481,0.6481,0.5926
0.6481,0.7407,0.8333,0.7222,0.7037,0.7407,0.8704,0.7407,0.6667,0.6296,0.6667,0.7222
0.4259,0.6481,0.6296,0.5741,0.4444,0.6481,0.7963,0.5185,0.4259,0.5556,0.4259,0.5
0.3704,0.5741,0.5741,0.5185,0.3889,0.6296,0.8519,0.5556,0.4444,0.4074,0.4444,0.463
0.5185,0.6481,0.7778,0.6481,0.5185,0.6852,0.7963,0.5741,0.5741,0.6296,0.5556,0.5185
0.4259,0.537,0.7222,0.5185,0.3889,0.5741,0.7407,0.5556,0.5185,0.5185,0.5741,0.5185
0.4727,0.6182,0.7273,0.5273,0.4727,0.6,0.7818,0.5818,0.4727,0.5091,0.4727,0.4909
0.4909,0.6545,0.8182,0.6364,0.5455,0.6909,0.7636,0.6727,0.6364,0.6,0.5636,0.6182
0.5818,0.6364,0.7091,0.6182,0.6,0.6909,0.8182,0.6545,0.6364,0.5455,0.6,0.5636
0.4727,0.6182,0.8,0.6182,0.5091,0.6909,0.8545,0.6909,0.5273,0.5636,0.5818,0.6
0.5273,0.6182,0.8,0.6364,0.5273,0.6364,0.8182,0.6182,0.5455,0.5455,0.5636,0.5273
0.6182,0.7091,0.7818,0.6364,0.6,0.7273,0.8545,0.7091,0.6364,0.6727,0.6545,0.6364
0.5741,0.6481,0.7593,0.5556,0.5,0.7222,0.8333,0.6667,0.5556,0.6111,0.537,0.6296
0.4444,0.5926,0.6852,0.5556,0.5185,0.6296,0.8519,0.6296,0.5185,0.5185,0.4815,0.463
0.537,0.6481,0.8704,0.6852,0.6296,0.7778,0.8148,0.7222,0.6667,0.7037,0.7222,0.6852
0.5185,0.6296,0.7037,0.5741,0.4815,0.6667,0.7037,0.6481,0.5185,0.537,0.5556,0.5
0.4909,0.6727,0.8,0.6,0.5818,0.6909,0.8182,0.6727,0.6182,0.5636,0.5636,0.5818
0.5273,0.6182,0.7273,0.5273,0.4909,0.6364,0.7818,0.6182,0.4909,0.5273,0.5273,0.5636
0.4364,0.6364,0.6727,0.5091,0.4,0.5818,0.7818,0.5091,0.4909,0.4909,0.5636,0.5818
0.5455,0.6545,0.8545,0.6545,0.4727,0.6909,0.8,0.6727,0.6182,0.6,0.4909,0.5818
0.4727,0.6,0.7455,0.4727,0.4727,0.6909,0.8545,0.5818,0.5636,0.5636,0.5636,0.5273
0.5091,0.6727,0.7818,0.5273,0.5273,0.7273,0.8545,0.6182,0.5455,0.5636,0.4909,0.6
0.4815,0.5926,0.6852,0.5556,0.4815,0.6296,0.8148,0.5741,0.537,0.5741,0.5741,0.5556
0.5185,0.537,0.7037,0.5556,0.5,0.6111,0.7963,0.537,0.5,0.537,0.4444,0.5
0.5,0.6111,0.6852,0.6481,0.463,0.6852,0.8519,0.6852,0.5556,0.537,0.5926,0.5741
0.4815,0.6667,0.7778,0.5741,0.4259,0.6852,0.8704,0.6481,0.5,0.5185,0.5741,0.5741
0.6182,0.6909,0.7455,0.6182,0.5273,0.7091,0.8727,0.6545,0.5636,0.6,0.5818,0.6182
0.6909,0.7818,0.8545,0.8182,0.6364,0.8,0.9091,0.8182,0.6909,0.7818,0.7636,0.7091
0.5091,0.5818,0.7091,0.6545,0.5091,0.6727,0.8182,0.6,0.5636,0.6,0.5455,0.6
0.4364,0.6364,0.7455,0.5636,0.4909,0.6364,0.8364,0.6182,0.4909,0.5455,0.5273,0.5091
0.5455,0.7091,0.7636,0.6,0.6,0.6909,0.8545,0.6909,0.5455,0.5818,0.5636,0.6
0.3636,0.4909,0.6182,0.4727,0.4182,0.4909,0.7273,0.4364,0.3818,0.4,0.4,0.4
0.5,0.537,0.6852,0.5185,0.463,0.6296,0.7407,0.5741,0.4815,0.5185,0.4444,0.5556
0.5556,0.7037,0.7407,0.5741,0.5556,0.6481,0.7593,0.6111,0.5556,0.5741,0.5926,0.5556
0.7037,0.7778,0.8889,0.7778,0.6481,0.8148,0.9074,0.7963,0.6852,0.7407,0.6481,0.7222
0.5556,0.6111,0.6852,0.6667,0.5741,0.6296,0.7593,0.5926,0.5741,0.5926,0.537,0.5556
0.5273,0.6545,0.7818,0.6545,0.5273,0.6545,0.8727,0.6727,0.6364,0.5636,0.6182,0.5455
0.5636,0.5273,0.7818,0.5818,0.4727,0.6727,0.8364,0.5818,0.5273,0.5091,0.5273,0.5455
0.5091,0.6182,0.7455,0.5818,0.4182,0.6727,0.8545,0.5636,0.4364,0.4364,0.4364,0.4909
0.4727,0.5818,0.7636,0.5636,0.5091,0.6364,0.7636,0.6,0.6182,0.4909,0.5636,0.5636
0.4364,0.6545,0.6909,0.5818,0.5091,0.6364,0.7636,0.6182,0.5455,0.5636,0.4727,0.5455
0.5091,0.6182,0.7818,0.5636,0.4727,0.6545,0.8,0.6,0.5091,0.5455,0.4909,0.5455
0.4815,0.537,0.7222,0.5741,0.463,0.6852,0.7778,0.5741,0.537,0.537,0.4074,0.537
0.6296,0.6667,0.7963,0.6111,0.5741,0.6852,0.8704,0.6481,0.6481,0.5741,0.6111,0.6296
0.4815,0.6481,0.7407,0.5556,0.4815,0.6852,0.7963,0.6667,0.5185,0.5741,0.4815,0.6481
0.5556,0.5926,0.7407,0.5556,0.5185,0.6667,0.7963,0.6852,0.5556,0.5185,0.5556,0.6111
0.5091,0.6182,0.8364,0.6545,0.5818,0.6727,0.8364,0.6364,0.5273,0.5091,0.5273,0.5818
0.4,0.5636,0.7455,0.4909,0.4364,0.6182,0.8,0.5818,0.4909,0.4909,0.4909,0.4727
0.5455,0.6727,0.8,0.6727,0.4727,0.6545,0.9091,0.6545,0.5091,0.6727,0.5091,0.4909
0.4727,0.6364,0.7091,0.5818,0.4727,0.6727,0.8364,0.6,0.6,0.5818,0.5818,0.5818
0.4727,0.6,0.7091,0.4727,0.4909,0.6545,0.7636,0.6182,0.5091,0.5818,0.5273,0.5818
0.5636,0.6727,0.8,0.6727,0.6182,0.7091,0.8909,0.6545,0.6727,0.6182,0.5818,0.6364
0.537,0.6111,0.7778,0.6111,0.5185,0.6481,0.7778,0.6481,0.5926,0.6481,0.6667,0.6481
0.4815,0.537,0.8333,0.5741,0.4815,0.6296,0.8333,0.6111,0.537,0.5556,0.537,0.537
0.6111,0.6481,0.7778,0.7593,0.5556,0.7593,0.8889,0.7407,0.6111,0.5741,0.6481,0.5926
0.5185,0.5556,0.7593,0.5926,0.537,0.6296,0.8333,0.6481,0.5926,0.5926,0.5556,0.5556
0.5091,0.6364,0.7636,0.6182,0.5091,0.7091,0.8182,0.6364,0.5636,0.6182,0.5455,0.5818
0.5818,0.6545,0.8,0.6727,0.5273,0.7091,0.8727,0.6545,0.5818,0.5273,0.6182,0.6364
0.5091,0.6545,0.8182,0.6364,0.5636,0.6545,0.8364,0.6364,0.6364,0.6,0.6364,0.6
0.4182,0.6,0.8182,0.5273,0.4364,0.5818,0.8909,0.5455,0.4909,0.5091,0.4364,0.5273
0.4364,0.5273,0.7273,0.5455,0.4364,0.6182,0.8364,0.5455,0.4727,0.5091,0.5455,0.5091
0.5273,0.6182,0.7818,0.6182,0.5091,0.6727,0.8545,0.6364,0.5636,0.5455,0.6,0.6545
0.5741,0.6852,0.7222,0.5926,0.5556,0.7222,0.7778,0.6667,0.5556,0.6111,0.5741,0.6296
0.3889,0.537,0.6481,0.5556,0.3333,0.537,0.6852,0.4815,0.4074,0.463,0.4444,0.4074
0.5,0.6852,0.7407,0.537,0.537,0.6667,0.8148,0.537,0.5556,0.5556,0.5741,0.537
0.6296,0.7778,0.8519,0.7963,0.6481,0.8333,0.8704,0.8148,0.6852,0.7407,0.6296,0.6481
0.4909,0.5455,0.8,0.6,0.5273,0.6727,0.8364,0.6545,0.5273,0.5273,0.5091,0.5273
0.4727,0.5273,0.6727,0.5818,0.5455,0.6182,0.7636,0.6364,0.5455,0.5273,0.5091,0.5091
0.5455,0.6727,0.7818,0.6364,0.5636,0.7273,0.8364,0.7273,0.6364,0.6182,0.6182,0.6727
0.5273,0.6727,0.8,0.6182,0.5273,0.7455,0.8727,0.6909,0.6,0.6,0.6,0.6364
0.4,0.6727,0.7636,0.5636,0.4909,0.7091,0.8545,0.6182,0.5818,0.5636,0.6,0.5455
0.4545,0.6182,0.7273,0.5636,0.4909,0.5818,0.7818,0.6,0.5273,0.5273,0.5091,0.4909
0.4815,0.5926,0.7593,0.5556,0.5185,0.6667,0.7963,0.6667,0.5,0.537,0.537,0.6296
0.537,0.6296,0.7407,0.5556,0.5185,0.6667,0.8148,0.6111,0.4815,0.537,0.5926,0.6111
0.5185,0.6481,0.8148,0.6111,0.5185,0.6481,0.8704,0.5556,0.5185,0.5556,0.5741,0.5185
0.5926,0.6667,0.7963,0.7037,0.6296,0.7593,0.8333,0.6852,0.5926,0.6111,0.6296,0.5926
0.4364,0.5636,0.6545,0.5091,0.3818,0.5818,0.7636,0.5273,0.4182,0.4182,0.4909,0.4545
