Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.4516,0.5714,0.5581,0.6047,0.3448,0.6047,0.5641,0.5581,0.5714,0.5532,0.5652,0.5581
0.32,0.4091,0.4186,0.4,0.2308,0.383,0.3721,0.4,0.3243,0.3182,0.3721,0.3721
0.4828,0.55,0.5714,0.5854,0.4138,0.55,0.5366,0.5366,0.4828,0.5128,0.4737,0.5263
0.25,0.4186,0.4186,0.4186,0.16,0.4444,0.4186,0.4286,0.2963,0.4091,0.4,0.3902
0.4242,0.4186,0.4737,0.4545,0.3871,0.439,0.5263,0.4545,0.4242,0.5106,0.4783,0.4889
0.4167,0.5789,0.4762,0.5854,0.1,0.5556,0.5405,0.5714,0.4615,0.439,0.5641,0.6061
0.5806,0.6512,0.7,0.6383,0.5806,0.6667,0.7442,0.6383,0.6857,0.6341,0.7179,0.6341
0.3333,0.52,0.6383,0.6222,0.3448,0.5909,0.5882,0.6087,0.5143,0.549,0.5385,0.5306
0.5333,0.4783,0.5,0.5714,0.3846,0.4878,0.5366,0.5217,0.5263,0.4583,0.4889,0.5532
0.4167,0.5854,0.4571,0.5217,0.2727,0.5455,0.5405,0.5217,0.5714,0.6,0.5641,0.5128
0.4,0.5238,0.5366,0.439,0.2857,0.45,0.5263,0.4878,0.4,0.4545,0.4878,0.4651
0.3571,0.5946,0.5455,0.5946,0.3704,0.5641,0.5455,0.5789,0.4375,0.45,0.5263,0.5
0.2609,0.6383,0.6122,0.6667,0.3704,0.6522,0.6667,0.6667,0.6875,0.6364,0.6977,0.6154
0.24,0.5306,0.5,0.5106,0.2963,0.5581,0.5217,0.5,0.3871,0.449,0.4615,0.4898
0.4444,0.4651,0.4889,0.4762,0.3704,0.4545,0.4286,0.4186,0.4516,0.3889,0.3636,0.4865
0.2609,0.6111,0.5455,0.5161,0.2,0.5882,0.5714,0.4828,0.3333,0.6452,0.5625,0.5625
0.4444,0.5455,0.45,0.5116,0.3333,0.5333,0.4865,0.5778,0.6061,0.5106,0.5532,0.4545
0.4138,0.4211,0.4737,0.5,0.4,0.4737,0.4865,0.4878,0.5,0.4,0.4865,0.4286
0.3077,0.4889,0.4167,0.5098,0.3704,0.4783,0.45,0.5098,0.4242,0.5532,0.4186,0.5532
0.4444,0.4762,0.5128,0.5366,0.3846,0.5,0.5,0.5366,0.5333,0.4545,0.4878,0.45
0.2667,0.5417,0.5,0.5417,0.2759,0.5306,0.52,0.5778,0.25,0.5,0.4783,0.5091
0.4444,0.3889,0.5714,0.4737,0.4,0.3889,0.4706,0.4737,0.5806,0.4324,0.4324,0.3429
0.4828,0.5957,0.5581,0.5306,0.4138,0.5882,0.6047,0.5417,0.4667,0.5,0.4898,0.4889
0.5517,0.5532,0.5714,0.5217,0.5517,0.6047,0.5909,0.5652,0.5517,0.6667,0.6047,0.6047
0.32,0.4583,0.4762,0.5366,0.32,0.4878,0.4878,0.5238,0.4667,0.4,0.359,0.4444
0.2727,0.5143,0.5556,0.5,0.2727,0.5556,0.5143,0.5143,0.4,0.4444,0.5714,0.2667
0.4,0.5238,0.5366,0.6316,0.4,0.5366,0.5854,0.6154,0.5161,0.5854,0.5789,0.6
0.3704,0.4878,0.55,0.5238,0.3704,0.5238,0.5581,0.5581,0.5,0.55,0.5306,0.4878
0.3571,0.5455,0.5455,0.5455,0.4138,0.5455,0.5854,0.5581,0.5556,0.439,0.5128,0.45
0.3077,0.4211,0.4324,0.3684,0.1667,0.4324,0.3889,0.4103,0.3571,0.2857,0.2703,0.3684
0.4138,0.5714,0.5366,0.5581,0.4286,0.5455,0.55,0.5854,0.5455,0.5238,0.4615,0.4889
0.4138,0.6522,0.6383,0.5909,0.5,0.6364,0.6512,0.5909,0.5714,0.65,0.7273,0.6222
0.3333,0.5778,0.65,0.6047,0.25,0.6047,0.6829,0.6047,0.5806,0.6047,0.619,0.6222
0.2609,0.6667,0.7273,0.5957,0.2609,0.6667,0.7273,0.6087,0.7222,0.6512,0.6122,0.6667
0.3846,0.5,0.4,0.4762,0.4,0.4762,0.4324,0.4762,0.5517,0.55,0.5333,0.4103
0.4667,0.4706,0.4348,0.4681,0.4286,0.5106,0.4,0.4783,0.5455,0.5417,0.5455,0.5217
0.25,0.4,0.4,0.4,0.25,0.4186,0.4286,0.4,0.4,0.4286,0.4,0.45
0.4138,0.52,0.5532,0.4348,0.4286,0.4878,0.4878,0.4545,0.4848,0.5714,0.5417,0.4
0.3871,0.5366,0.6,0.5,0.4138,0.5366,0.5714,0.5366,0.5143,0.5,0.5366,0.4615
0.3571,0.5455,0.4762,0.5238,0.3333,0.5333,0.5,0.4762,0.4667,0.381,0.5238,0.4651
0.24,0.4865,0.5789,0.5238,0.2308,0.5116,0.6154,0.45,0.4516,0.4737,0.5789,0.5
0.4444,0.5116,0.5957,0.5333,0.1905,0.4651,0.439,0.5333,0.4286,0.5854,0.5417,0.5116
0.5625,0.5532,0.5714,0.6383,0.5,0.6522,0.6047,0.6122,0.6111,0.5,0.5385,0.5
0.4286,0.5778,0.5909,0.5217,0.3704,0.5366,0.5366,0.5333,0.5882,0.6111,0.5116,0.5333
0.4348,0.5789,0.5263,0.6111,0.3636,0.6154,0.5641,0.5789,0.56,0.6875,0.6286,0.6471
0.4615,0.5714,0.55,0.4762,0.3478,0.5455,0.5238,0.5116,0.5625,0.5,0.5294,0.5714
0.4667,0.5116,0.55,0.5,0.4138,0.55,0.5789,0.5128,0.5,0.4878,0.4865,0.4865
